Titlu: Introducere în Machine Learning, Autor: Aurélien Géron, An: 2023
Titlu: Machine Learning: O Abordare Probabilistică , Autor: Kevin P. Murphy, An: 2012
Titlu: Deep Learning, Autor: Ian Goodfellow, An: 2016
Titlu: Elemente de Statistică pentru Machine Learning, Autor: David G. Stork, An: 2014
Titlu: Machine Learning: Un Ghid Practic, Autor: Tom Mitchell, An: 2021
Titlu: Hands-On Machine Learning with Scikit-Learn Keras & TensorFlow, Autor: Aurélien Géron, An: 2017
Titlu: Reinforcement Learning: An Introduction, Autor: Richard S. Sutton, An: 2018
Titlu: Natural Language Processing with Python, Autor: Edward Loper, An: 2019
Titlu: Speech and Language Processing, Autor: James H. Martin, An: 2008
Titlu: Computer Vision: A Modern Approach, Autor: David A. Forsyth, An: 2011
Titlu: Inteligența Artificială: Principii și Aplicării, Autor: Mircea-Florin Vaida, An: 2007
Titlu: Introducere în Invățarea Automată, Autor: Adrian-Mihail Ionescu, An: 2013
Titlu: Prelucrarea Automată a Limbajului Natural, Autor: Daniel Ştefănescu, An: 2014
Titlu: Deep Learning cu Python, Autor: Bogdan Vasilescu, An: 2018
Titlu: Machine Learning: Teorie și Practică, Autor: Mihai-Alexandru Țăpuș, An: 2020
Titlu: Inteligența Artificială: De la Perceptron la Deep Learning, Autor: Mircea-Florin Vaida, An: 2021
Titlu: Machine Learning pentru Incepatori, Autor: Andrei-Alexandru Ene, An: 2022
Titlu: Proiecte de Machine Learning cu TensorFlow, Autor: Andrei-Alexandru Ene, An: 2023
Titlu: Reinforcement Learning pentru Incepatori, Autor: Andrei-Alexandru Ene, An: 2023
Titlu: Prelucrarea Automată a Limbajului Natural cu Python, Autor: Andrei-Alexandru Ene, An: 2023
Titlu: Machine Learning: O Abordare Practică cu TensorFlow, Autor: Aurélien Géron, An: 2023
Titlu: Deep Learning cu PyTorch, Autor: Thomas Viehmann, An: 2023
Titlu: Reinforcement Learning cu OpenAI Gym, Autor: Andrew G. Barto, An: 2023
Titlu: Prelucrarea Automată a Limbajului Natural cu spaCy, Autor: Sebastian Ruder, An: 2023
Titlu: Computer Vision cu OpenCV, Autor: Gary Bradski, An: 2023
Titlu: Invățarea Automată: Teorie și Implementare , Autor: Adrian-Mihail Ionescu, An: 2014
Titlu: Algoritmi de Invățare Automată, Autor: Valentin-Florin Pătrașcu, An: 2014
Titlu: Deep Learning pentru Prelucrarea Limbajului Natural, Autor: Daniel Ştefănescu, An: 2018
Titlu: Machine Learning pentru Finanțe, Autor: Bogdan Vasilescu, An: 2020
Titlu: Inteligența Artificială: Provocări și Oportunități pentru România, Autor: Mircea-Florin Vaida, An: 2022
Titlu: Machine Learning pentru Educație, Autor: Andrei-Alexandru Ene, An: 2023
Titlu: Machine Learning pentru Robotică, Autor: Andrei-Alexandru Ene, An: 2023
Titlu: Machine Learning pentru IoT, Autor: Andrei-Alexandru Ene, An: 2023
Titlu: Machine Learning pentru Cybersecurity, Autor: Andrei-Alexandru Ene, An: 2023
Titlu: Machine Learning pentru Recomandare, Autor: Bogdan Vasilescu, An: 2023
Titlu: Machine Learning pentru Generarea de Text, Autor: Dan Tufiș, An: 2023
Titlu: Machine Learning pentru Bioinformatică, Autor: Adrian-Mihail Ionescu, An: 2023
Titlu: Machine Learning pentru Agricultură, Autor: Andrei-Alexandru Ene, An: 2023
Titlu: The Hundred-page Machine Learning Machine, Autor: Andriy Burkov, An: 2018
Titlu: A Survey on Transfer Learning, Autor: Pankaj Panwar, An: 2018
Titlu: Self-Supervised Learning: A Survey of Recent Advances, Autor: Jingjing Li, An: 2020
Titlu: An Overview of Explainable Artificial Intelligence (XAI), Autor: Christoph Molnar, An: 2021
Titlu: The State of AI in 2023, Autor: Andrew Ng, An: 2023
Titlu: Deep Learning for Coders with Python, Autor: Francois Chollet, An: 2019
Titlu: Deep Reinforcement Learning: An Introduction (2018), Autori: Sutton, An: 2018
Titlu: Foundations of Machine Learning (2021), Autori: Mehryar Mohri, An: 2021
Titlu: Gaussian Processes for Machine Learning (2006), Autori: Carl Edward Rasmussen, An: 2006
